18762063812@sergiosilva@B9E949D7-F1B3-45E5-9D5C-E7378F6BD428@bezos em 5.02.pje.2
14/11/2024 09:48:09: Acessou https://pje.trt2.jus.br/segundograu/login.seam
14/11/2024 09:48:10: Logou https://pje.trt2.jus.br/segundograu/Painel/painel_usuario/advogado.seam?tab=agrupadores
14/11/2024 09:48:11: Perfil advogado e usuário SERGIO ALEXANDRE DA SILVA
14/11/2024 09:48:18: advogado 1000037-37.2020.5.02.0613 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000277-33.2014.5.02.0323 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000398-33.2015.5.02.0612 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000587-77.2016.5.02.0611 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000620-28.2015.5.02.0603 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000727-58.2021.5.02.0087 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000857-94.2017.5.02.0602 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1001735-80.2017.5.02.0614 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1001819-72.2021.5.02.0604 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1002048-12.2019.5.02.0601 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1002565-61.2017.5.02.0221 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: Total: 10
14/11/2024 09:48:18: Total: 10
14/11/2024 09:48:18: advogado 0086200-65.2000.5.02.0313 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000467-10.2018.5.02.0079 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000513-52.2021.5.02.0383 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000675-82.2015.5.02.0601 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1001468-74.2022.5.02.0601 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1001576-93.2024.5.02.0614 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1001759-97.2015.5.02.0608 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1001810-30.2023.5.02.0608 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1001871-10.2022.5.02.0612 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1001952-11.2021.5.02.0606 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: Total: 9
14/11/2024 09:48:18: Total: 9
14/11/2024 09:48:18: advogado 0226300-86.2008.5.02.0023 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000184-10.2022.5.02.0608 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000251-18.2021.5.02.0605 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1000504-81.2023.5.02.0040 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1001382-39.2023.5.02.0320 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1001439-18.2023.5.02.0042 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1001758-34.2023.5.02.0608 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1002021-02.2014.5.02.0602 >> Processo já foi verificado recentemente
14/11/2024 09:48:18: advogado 1002045-76.2023.5.02.0614 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: Total: 5
14/11/2024 09:48:19: Total: 5
14/11/2024 09:48:19: advogado 1000946-71.2014.5.02.0231 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001072-43.2017.5.02.0708 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001146-64.2016.5.02.0601 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001964-84.2014.5.02.0601 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1002319-02.2016.5.02.0609 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: Total: 8
14/11/2024 09:48:19: Total: 8
14/11/2024 09:48:19: advogado 1000628-37.2023.5.02.0049 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1000741-81.2014.5.02.0606 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1000811-68.2023.5.02.0611 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001060-13.2018.5.02.0605 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001134-88.2023.5.02.0606 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001317-62.2014.5.02.0610 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001323-51.2018.5.02.0603 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001878-48.2021.5.02.0608 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: Total: 2
14/11/2024 09:48:19: Total: 2
14/11/2024 09:48:19: advogado 1000654-84.2021.5.02.0605 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1000888-68.2023.5.02.0614 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: Total: 10
14/11/2024 09:48:19: Total: 10
14/11/2024 09:48:19: advogado 1000069-35.2021.5.02.0604 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1000289-61.2022.5.02.0066 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1000452-31.2021.5.02.0501 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1000531-50.2023.5.02.0077 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001060-10.2023.5.02.0323 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001365-65.2021.5.02.0613 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001495-77.2022.5.02.0077 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001669-93.2018.5.02.0605 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1002002-79.2022.5.02.0613 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1002071-92.2023.5.02.0608 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: Total: 9
14/11/2024 09:48:19: Total: 9
14/11/2024 09:48:19: advogado 1000274-86.2020.5.02.0608 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1000631-04.2020.5.02.0467 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1000720-82.2017.5.02.0612 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001371-50.2021.5.02.0006 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001448-22.2023.5.02.0610 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001573-46.2021.5.02.0614 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001675-62.2016.5.02.0608 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001811-31.2017.5.02.0315 >> Processo já foi verificado recentemente
14/11/2024 09:48:19: advogado 1001987-19.2022.5.02.0611 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: Total: 5
14/11/2024 09:48:20: Total: 5
14/11/2024 09:48:20: advogado 1000094-81.2022.5.02.0614 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001050-72.2023.5.02.0611 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001411-38.2022.5.02.0607 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1002241-73.2023.5.02.0605 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1002243-46.2023.5.02.0604 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: Total: 18
14/11/2024 09:48:20: Total: 18
14/11/2024 09:48:20: advogado 0001337-70.2010.5.02.0041 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1000413-59.2016.5.02.0614 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1000721-57.2023.5.02.0612 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1000722-16.2020.5.02.0008 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1000756-58.2016.5.02.0613 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001050-74.2020.5.02.0612 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001158-43.2014.5.02.0603 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001178-92.2018.5.02.0603 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001213-80.2022.5.02.0613 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001220-50.2023.5.02.0609 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001238-03.2020.5.02.0601 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001247-43.2017.5.02.0609 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001270-65.2021.5.02.0603 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001387-49.2018.5.02.0607 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001788-88.2022.5.02.0613 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1001941-57.2022.5.02.0602 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1002046-85.2023.5.02.0606 >> Processo já foi verificado recentemente
14/11/2024 09:48:20: advogado 1002129-17.2022.5.02.0613 >> Processo já foi verificado recentemente
14/11/2024 09:48:21: Total: 1
14/11/2024 09:48:21: Total: 1
14/11/2024 09:48:21: advogado 1000366-45.2020.5.02.0000 >> Processo já foi verificado recentemente
14/11/2024 09:48:21: Entrou na aba acervo do perfil e mapeou 316 processos e teve erro em 0 processos
14/11/2024 09:48:21: Rodou
